Year_Week,year,week,Retail Market,Vegetable,mean_farmer_price
2017-w35,2017,w35,Anuradhapura,ASH PLANTAINS,57.5
2017-w36,2017,w36,Anuradhapura,ASH PLANTAINS,61.25
2017-w37,2017,w37,Anuradhapura,ASH PLANTAINS,62.0
2017-w38,2017,w38,Anuradhapura,ASH PLANTAINS,65.16
2017-w39,2017,w39,Anuradhapura,ASH PLANTAINS,68.33
2017-w40,2017,w40,Anuradhapura,ASH PLANTAINS,75.0
2017-w41,2017,w41,Anuradhapura,ASH PLANTAINS,70.0
2017-w42,2017,w42,Anuradhapura,ASH PLANTAINS,65.0
2017-w43,2017,w43,Anuradhapura,ASH PLANTAINS,65.0
2017-w44,2017,w44,Anuradhapura,ASH PLANTAINS,66.66
2017-w45,2017,w45,Anuradhapura,ASH PLANTAINS,68.33
2017-w46,2017,w46,Anuradhapura,ASH PLANTAINS,65.0
2017-w47,2017,w47,Anuradhapura,ASH PLANTAINS,68.33
2017-w48,2017,w48,Anuradhapura,ASH PLANTAINS,68.33
2017-w49,2017,w49,Anuradhapura,ASH PLANTAINS,68.33
2017-w50,2017,w50,Anuradhapura,ASH PLANTAINS,63.33
2017-w51,2017,w51,Anuradhapura,ASH PLANTAINS,63.33
2017-w52,2017,w52,Anuradhapura,ASH PLANTAINS,78.33
2018-w1,2018,w1,Anuradhapura,ASH PLANTAINS,63.33
2018-w2,2018,w2,Anuradhapura,ASH PLANTAINS,61.67
2018-w3,2018,w3,Anuradhapura,ASH PLANTAINS,45.0
2018-w4,2018,w4,Anuradhapura,ASH PLANTAINS,61.67
2018-w5,2018,w5,Anuradhapura,ASH PLANTAINS,56.67
2018-w6,2018,w6,Anuradhapura,ASH PLANTAINS,60.0
2018-w7,2018,w7,Anuradhapura,ASH PLANTAINS,55.0
2018-w8,2018,w8,Anuradhapura,ASH PLANTAINS,51.25
2018-w9,2018,w9,Anuradhapura,ASH PLANTAINS,50.0
2018-w10,2018,w10,Anuradhapura,ASH PLANTAINS,38.33
2018-w11,2018,w11,Anuradhapura,ASH PLANTAINS,55.0
2018-w12,2018,w12,Anuradhapura,ASH PLANTAINS,55.0
2018-w13,2018,w13,Anuradhapura,ASH PLANTAINS,45.0
2018-w14,2018,w14,Anuradhapura,ASH PLANTAINS,33.33
2018-w15,2018,w15,Anuradhapura,ASH PLANTAINS,50.0
2018-w16,2018,w16,Anuradhapura,ASH PLANTAINS,50.0
2018-w17,2018,w17,Anuradhapura,ASH PLANTAINS,25.0
2018-w18,2018,w18,Anuradhapura,ASH PLANTAINS,30.0
2018-w19,2018,w19,Anuradhapura,ASH PLANTAINS,33.33
2018-w20,2018,w20,Anuradhapura,ASH PLANTAINS,28.75
2018-w21,2018,w21,Anuradhapura,ASH PLANTAINS,31.67
2018-w22,2018,w22,Anuradhapura,ASH PLANTAINS,35.0
2018-w23,2018,w23,Anuradhapura,ASH PLANTAINS,41.67
2018-w24,2018,w24,Anuradhapura,ASH PLANTAINS,48.75
2018-w25,2018,w25,Anuradhapura,ASH PLANTAINS,41.25
2018-w26,2018,w26,Anuradhapura,ASH PLANTAINS,58.75
2018-w27,2018,w27,Anuradhapura,ASH PLANTAINS,56.25
2018-w28,2018,w28,Anuradhapura,ASH PLANTAINS,53.75
2018-w29,2018,w29,Anuradhapura,ASH PLANTAINS,55.0
2018-w30,2018,w30,Anuradhapura,ASH PLANTAINS,48.33
2018-w31,2018,w31,Anuradhapura,ASH PLANTAINS,48.33
2018-w32,2018,w32,Anuradhapura,ASH PLANTAINS,45.0
2018-w33,2018,w33,Anuradhapura,ASH PLANTAINS,50.0
2018-w34,2018,w34,Anuradhapura,ASH PLANTAINS,53.33
2018-w35,2018,w35,Anuradhapura,ASH PLANTAINS,51.25
2018-w36,2018,w36,Anuradhapura,ASH PLANTAINS,51.25
2018-w37,2018,w37,Anuradhapura,ASH PLANTAINS,55.0
2018-w38,2018,w38,Anuradhapura,ASH PLANTAINS,56.25
2018-w39,2018,w39,Anuradhapura,ASH PLANTAINS,53.0
2018-w40,2018,w40,Anuradhapura,ASH PLANTAINS,53.75
