Year,Location,Missing_Cells
2014,Mannar,1352
2015,Mannar,621
2016,Mannar,451
2017,Mannar,511
2018,Mannar,1123
2019,Mannar,534
2020,Mannar,484
2021,Mannar,371
2022,Mannar,221
2023,Mannar,93
2024,Mannar,289
2022,Matale,737
2023,Matale,249
2024,Matale,61
2008,Mathara,186
2009,Mathara,248
2010,Mathara,111
2011,Mathara,180
2012,Mathara,221
2013,Mathara,17
2014,Mathara,89
2015,Mathara,25
2016,Mathara,50
2017,Mathara,174
2018,Mathara,181
2019,Mathara,381
2020,Mathara,353
2021,Mathara,348
2022,Mathara,76
2023,Mathara,44
2024,Mathara,49
2008,Meegoda,300
2009,Meegoda,275
2010,Meegoda,175
2011,Meegoda,248
2012,Meegoda,255
2013,Meegoda,93
2014,Meegoda,31
2015,Meegoda,47
2016,Meegoda,46
2017,Meegoda,65
2018,Meegoda,64
2019,Meegoda,80
2020,Meegoda,479
2021,Meegoda,270
2022,Meegoda,58
2023,Meegoda,127
2024,Meegoda,55
2008,Monaragala,632
2009,Monaragala,409
2010,Monaragala,167
2011,Monaragala,205
2012,Monaragala,880
2013,Monaragala,996
2014,Monaragala,61
2015,Monaragala,180
2016,Monaragala,43
2017,Monaragala,47
2018,Monaragala,49
2019,Monaragala,317
2020,Monaragala,1186
2021,Monaragala,1352
2022,Monaragala,318
2023,Monaragala,92
2024,Monaragala,64
2008,Mullaitive,1352
2009,Mullaitive,1352
2010,Mullaitive,1352
2011,Mullaitive,1028
2012,Mullaitive,1024
2013,Mullaitive,1133
2014,Mullaitive,331
2015,Mullaitive,266
2016,Mullaitive,985
2017,Mullaitive,853
2018,Mullaitive,888
2019,Mullaitive,187
2020,Mullaitive,809
2021,Mullaitive,806
2022,Mullaitive,402
2023,Mullaitive,517
2024,Mullaitive,638
2008,Nikaweratiya,160
2009,Nikaweratiya,252
2010,Nikaweratiya,99
2011,Nikaweratiya,208
2012,Nikaweratiya,1002
2013,Nikaweratiya,47
2014,Nikaweratiya,47
2015,Nikaweratiya,56
2016,Nikaweratiya,191
2017,Nikaweratiya,251
2018,Nikaweratiya,798
2019,Nikaweratiya,868
2020,Nikaweratiya,468
2021,Nikaweratiya,718
2022,Nikaweratiya,214
